,route,sectors_scheduled,cancellations,cancel_rate,arr_otp,cum_share
5,Wellington - Christchurch,2233,90,0.04030452306314376,0.8235294117647058,0.030343897505057317
1,Christchurch - Auckland,2768,81,0.02926300578034682,0.7592110160029772,0.0576534052596089
0,Auckland - Christchurch,2795,80,0.02862254025044723,0.7723756906077348,0.08462575859743762
2,Wellington - Auckland,2625,80,0.03047619047619048,0.7535377358490566,0.11159811193526635
4,Christchurch - Wellington,2282,73,0.03198948290972831,0.8559782608695652,0.13621038435603505
3,Auckland - Wellington,2597,72,0.02772429726607624,0.8209900990099009,0.1604855023600809
8,Palmerston North - Auckland,1703,70,0.04110393423370522,0.7991426821800367,0.18408631153068106
15,Nelson - Wellington,1373,69,0.05025491624180627,0.8052147239263804,0.20734996628455832
12,Wellington - Nelson,1398,67,0.04792560801144492,0.7287753568745304,0.2299393122049899
9,Auckland - Palmerston North,1701,66,0.03880070546737213,0.7902140672782875,0.2521915037086986
6,Hawke's Bay - Auckland,1834,64,0.03489640130861505,0.7501413227812324,0.2737693863789616
18,New Plymouth - Auckland,1253,64,0.05107741420590583,0.7905803195962994,0.29534726904922454
27,Hamilton - Wellington,968,62,0.0640495867768595,0.7836644591611479,0.3162508428860418
11,Nelson - Auckland,1554,59,0.03796653796653797,0.7538461538461538,0.3361429534726905
19,Auckland - New Plymouth,1252,55,0.0439297124600639,0.7852965747702589,0.35468644639244773
40,Hawke's Bay - Wellington,708,54,0.07627118644067797,0.845565749235474,0.3728927848954821
26,Wellington - Hamilton,969,51,0.05263157894736842,0.8322440087145969,0.39008766014834795
7,Auckland - Hawke's Bay,1831,51,0.02785363189513927,0.7853932584269663,0.40728253540121373
10,Auckland - Nelson,1554,49,0.03153153153153153,0.7588039867109635,0.42380310182063385
41,Wellington - Hawke's Bay,708,48,0.06779661016949153,0.8409090909090909,0.4399865138233311
